links,title,Authors,Publication Year,Journal/Conference,Abstract Summary,3-Way Decision Methodology,3-Way Feasibility,Domains of Application,Main Objective,Evaluation Metrics,Data Type and Size,Key Findings,Future Work Suggestions,Limitations,Keywords
https://pdf.sciencedirectassets.com/271647/1-s2.0-S0306457321X00064/1-s2.0-S030645732100296X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEDEaCXVzLWVhc3QtMSJGMEQCIFOXTyipq1SmQSlV976o3SaiDmkjR7TuB0ev%2BrC3RDw5AiATR6i9chuXqn60sL8XgyOLcdOhm%2FuK%2BLoDUv72viPCeCq8BQia%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMIn2hrbnEp2vWiFlvKpAFSMwEKwzpBhlo%2FDnnVtngjhZNtqQE8dk5V49xJMXpUFY8ZWKitIlFO%2FyDYuFFnl0VtX6U3sGU4mx%2BSCx57%2FC9b7abziBdN7Ge0DkGqhUqzX3qn6WaUa0tSq%2FXoLY8m0Fid%2FlrH%2BmYVENGLwlu4H4wrnLaMr3DYBc9hZC2ZuAL7MM8kk7HRnDcWBikwtBOcMgSpytyX5gCf%2BMY9t0Mn3x8pS4hNuItQARN1El6vQHkWl3glHwYCCBxQZUa0%2F1VkM1G568HIpnz8apwIZaXbn4tBtPbwIAGZaugNmMOku%2BVcUX0pdMmqMQ7Iw0fJ%2FwRTnwAOMa4sWZnWyZ2qS%2FXgZHoPPOY8pB%2FVTnb648nQSed2zohsqCKcdKvFYcxC%2B4lbSLxXZwtstuuOPttuBLTb0iMMC%2FsS7EzENV301utDpDnOnQcnTsTWx%2Bv8%2BzUU%2FNXDpas2VBmDMcgTyEeigJndbhMk9CCzm17yJ5IcKK2eR%2B4jplIATwcKxtZfJCy20MgOHszpri1bapEekw5Z20gRrHZZ3QLVIPIjXxxtEaFY1oSoKgH%2FyckiLjzW6KXFzk%2F9cojBQWMXyVXnOuzQP%2BHCBW0cdfeeSMxnK9mTgDanI92GC5Vkh6YzulX%2Bs0rIl2XPdYKRfkAmY4DquREep60qfwEw4EjSXvdqXoORFzLmWwkofj572FQrhYRIDhEb92eiucKuU%2FLpDfKDoCeYvr1MDVRfQxzC0exlWygue1cUn8X%2BRrmNu9D4vtAUxaSsVCcmbyG7mYUZZSAOCAHp9hx2q6QvkrxwXp88Mxm51BFFT7%2Ba5F%2FBbUUjZdTkO%2B2O40QIs4NmLkPAAPvnFNiTX5zUZqpX0UQDlZpd9izqopElWAH1mEw%2FejbuAY6sgHhktfON2PiNNkEE%2BZZSHevbKcRTJAJw1%2BiOQOZYXCXv5YfqOHM9Pr28IJEKdtuqTX89eYKoaIDq8uBsjL%2BrYxDYZixpfmLN7dASdCBq%2Bxu9gnDSxiK%2BnvyQbwmjV53%2FlsE2SOQxHdgjtow%2BYxPQQvwHdUZmiwO4MIord8KmTZRfpi3VMxnHSkCTq2XIFBXpIDqX4I4c7BjAA%2FTboMenQ5SYwq7102N3zid2qgmdRT%2FGdwp&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241022T013552Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5MLTXFYQ%2F20241022%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed35461bd74cba021d74984e717570cef3b67f2fc5e74bc4f9c807b406284b1f&hash=fc22e6eae452b8a1a454a03aaa2384d30e228637a644bae8238ce4ee8c9870fc&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S030645732100296X&tid=spdf-dd2590e4-a94c-45a0-86e1-f06761f6e404&sid=b2d4d69e9844e24f654862089da7743e7e42gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=05075b04515700520000&rr=8d65c0cf7cd4b45d&cc=ca,Assessing the effectiveness of a three-way decision-making framework with multiple features in simulating human judgement of opinion classification,"L.D.C.S. Subhashini, Yuefeng Li, Jinglan Zhang, Ajantha S. Atukorale",2022,Information Processing and Management,"This study explores a three-way opinion classification (3WOC) model that incorporates semantic and fuzzy features to simulate human judgment in opinion classification. Using an Amazon Musical Instrument dataset and human feedback, the study shows that combining these features enhances classification accuracy and simulates human decision-making better than traditional binary models.",Integration of semantic features and fuzzy features for enhanced opinion classification.,Demonstrated applicability in opinion mining and customer feedback analysis.,"Opinion mining, sentiment analysis, customer feedback.",To evaluate the effectiveness of a three-way decision model compared to binary classification in mimicking human opinion classification.,"Classification coverage, accuracy, sensitivity, specificity, PPV, NPV.","Amazon Musical Instrument dataset with 1400 reviews, with a sample of 25 reviews for user testing.",Low statistical correlation between semantic and fuzzy features; 3WOC model outperforms binary classification in simulating human judgments.,Improve classification summary and adapt the model for broader datasets.,"Sample limited to university respondents, dataset size restricted.","Three-way decision model, opinion mining, fuzzy features, semantic features, human judgment simulation"
https://www.nature.com/articles/s41598-023-49086-1,Three-way group decisions using evidence theory under hesitant fuzzy linguistic environment | Scientific Reports,"Chao Zhang, Juanjuan Ding, Deyu Li, Jianming Zhan",2021,International Journal of Approximate Reasoning,"This study explores multi-granularity three-way decision-making with q-rung orthopair fuzzy sets to handle uncertainty in decision-making. The model integrates multigranulation probabilistic rough sets to support multi-attribute group decision making, exemplified through a corporate financial quality matching case.",Multi-granularity three-way decision models with q-rung orthopair fuzzy sets.,Effective for group decision-making with uncertain and diverse information.,"Financial quality assessment, corporate decision-making.",To develop a comprehensive framework using q-rung orthopair fuzzy sets for group decision-making under uncertainty.,"Sensitivity analysis, validity tests.",Not specified.,The q-ROF MAGDM approach supports flexible decision making by addressing multiple risk levels and reducing classification errors.,Explore other applications and model extensions.,Limited to group decision-making scenarios.,"q-rung orthopair fuzzy sets, multi-granularity, three-way decisions, group decision making"
https://link.springer.com/article/10.1007/s10462-022-10311-4,A three-way decision method with tolerance dominance relations in decision information systems | Artificial Intelligence Review,Yiyu Yao,2011,Information Sciences,"This paper discusses probabilistic rough sets as a basis for three-way decisions, focusing on how probabilistic three-way decisions can minimize costs associated with classification errors.",Probabilistic rough set models with cost-sensitive classifiers.,Cost-effective for classification tasks requiring error trade-offs.,"Error-sensitive classification, decision support systems.",To evaluate cost-effective ternary classification versus binary and qualitative three-way models.,"Classification cost, accuracy.",Not specified.,Probabilistic three-way decisions reduce misclassification costs.,Explore further applications in dynamic systems.,Restricted to decision costs.,"Probabilistic rough sets, three-way decisions, cost-sensitive classifiers"
https://link.springer.com/article/10.1007/s10844-013-0254-7,Cost-sensitive three-way email spam filtering | Journal of Intelligent Information Systems,"Guangming Lang, Duoqian Miao, Mingjie Cai",2017,Information Sciences,"Using decision-theoretic rough sets, this study proposes a three-way model to analyze conflicts, providing efficient algorithms to handle dynamic information and support conflict resolution.",Decision-theoretic rough sets for conflict analysis.,Effective for dynamic and complex conflict scenarios.,"Conflict resolution, dynamic information systems.",To develop efficient methods for conflict analysis and dynamic system adaptability.,Conflict resolution effectiveness.,Simulated dynamic data sets.,Three-way models handle conflict dynamics effectively.,Extend to more real-world conflict cases.,Limited experimental validation.,"Conflict analysis, three-way decisions, decision-theoretic rough sets"
https://www.integrify.com/decision-table-examples/,3 Decision Table Examples and Use Cases,"Fan Jia, Peide Liu",2019,Information Sciences,"This study combines three-way decisions with multi-criteria decision-making (MCDM) using relative and inverse loss functions, proposing a comprehensive approach for investment decision cases.","Three-way decision combined with MCDM, using relative loss functions.",Suitable for complex decision problems with multiple criteria.,Investment decision-making.,To extend three-way decisions to MCDM environments.,Investment success metrics.,Case study on investment projects.,MCDM-based three-way decisions enhance decision-making flexibility.,Apply to other multi-criteria contexts.,Focused on a single case.,"Three-way decisions, multi-criteria decision-making, investment"
https://pmc.ncbi.nlm.nih.gov/articles/PMC7338178/,Three-Way Decision for Handling Uncertainty in Machine Learning: A Narrative Review - PMC,"Chao Zhang, Deyu Li, Jiye Liang",2020,Information Sciences,This paper introduces a multi-granularity three-way decision-making model with interval-valued hesitant fuzzy sets for managing consensus in group decision-making under different risk preferences.,Multi-granularity three-way decisions with interval-valued hesitant fuzzy sets.,Effective for group decisions with varying opinions and risk appetites.,"Group decision making, mergers and acquisitions.",To apply multi-granularity decision-making for diverse group consensus processes.,Consensus measurement.,Case study on mergers and acquisitions.,Enhanced group decision-making by addressing consensus and conflicting opinions.,Explore broader applications in other domains.,Primarily theoretical model.,"Multi-granularity, interval-valued hesitant fuzzy, three-way decisions, group consensus"
https://www2.cs.uregina.ca/~yyao/PAPERS/RS_3WD.pdf,RS_3WD.pdf,"Juan Carlos Leyva-López, Eduardo Fernández-González",2003,European Journal of Operational Research,"This study extends the ELECTRE III multicriteria outranking methodology for group decision-making, integrating individual preferences to achieve a collective ranking.",ELECTRE III multicriteria outranking and fuzzy binary relation.,Suitable for complex group decision-making.,"Organizational decision-making, planning.",To provide a group decision-making framework combining individual rankings into a collective preference.,Comparison with PROMETHEE II.,Not specified.,ELECTRE III approach was effective for consensus in varied group opinions.,Further applications in dynamic group settings.,Focused on majority rule assumptions.,"Group decision-making, multicriteria analysis, ELECTRE III"
https://link.springer.com/article/10.1007/s12559-022-10028-0,Granular Computing and Three-way Decisions for Cognitive Analytics | Cognitive Computation,"Dun Liu, Decui Liang, Changchun Wang",2016,Knowledge-Based Systems,This model extends three-way decisions to incomplete information systems using interval numbers and hybrid information tables.,Decision-theoretic rough sets with interval numbers.,Effective in handling missing values and uncertainty.,Medical diagnosis.,To adapt three-way decisions for incomplete data.,Accuracy in diagnosis.,Medical diagnosis dataset.,Effective for decision-making with incomplete data.,Model optimization for varied domains.,Limited to specific data types.,"Three-way decision, incomplete information, rough sets"
https://hbr.org/1964/07/decision-trees-for-decision-making,Decision Trees for Decision-Making,"Huaxiong Li, Libo Zhang, Bing Huang, Xianzhong Zhou",2016,Knowledge-Based Systems,"This study proposes a three-way decision model for face recognition, focusing on sequential decisions and cost sensitivity.",Sequential three-way decisions with granular computing.,Effective for cases with imbalanced costs.,Face recognition.,"To optimize face recognition through cost-sensitive, sequential decisions.",Misclassification cost reduction.,Facial image datasets.,Sequential three-way model improves face recognition accuracy.,Application to other cost-sensitive classification tasks.,Model complexity.,"Three-way decisions, face recognition, cost-sensitive learning"
https://www.sciencedirect.com/science/article/pii/S0020025518306698,A novel three-way decision model under multiple-criteria environment - ScienceDirect,"Jiaxin Zhan, Wenjie Wang, José Carlos R. Alcantud, Jianming Zhan",2022,Information Sciences,A 3-way decision approach incorporating prospect-regret theory for decision-making in incomplete information systems.,"Fuzzy set pair dominance, prospect-regret theory.",Useful for psychological decision-making processes.,"Medical diagnosis, air quality evaluations.",To apply prospect-regret theory to 3WD for realistic decision-making.,Stability and superiority of classification.,KEEL and UCI datasets.,Effective in complex decision-making under incomplete information.,Broaden to more incomplete systems.,Model dependent on subjectivity.,"Three-way decision, prospect theory, regret theory, fuzzy sets"
