links,title
https://pdf.sciencedirectassets.com/271647/1-s2.0-S0306457321X00064/1-s2.0-S030645732100296X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEDEaCXVzLWVhc3QtMSJGMEQCIFOXTyipq1SmQSlV976o3SaiDmkjR7TuB0ev%2BrC3RDw5AiATR6i9chuXqn60sL8XgyOLcdOhm%2FuK%2BLoDUv72viPCeCq8BQia%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMIn2hrbnEp2vWiFlvKpAFSMwEKwzpBhlo%2FDnnVtngjhZNtqQE8dk5V49xJMXpUFY8ZWKitIlFO%2FyDYuFFnl0VtX6U3sGU4mx%2BSCx57%2FC9b7abziBdN7Ge0DkGqhUqzX3qn6WaUa0tSq%2FXoLY8m0Fid%2FlrH%2BmYVENGLwlu4H4wrnLaMr3DYBc9hZC2ZuAL7MM8kk7HRnDcWBikwtBOcMgSpytyX5gCf%2BMY9t0Mn3x8pS4hNuItQARN1El6vQHkWl3glHwYCCBxQZUa0%2F1VkM1G568HIpnz8apwIZaXbn4tBtPbwIAGZaugNmMOku%2BVcUX0pdMmqMQ7Iw0fJ%2FwRTnwAOMa4sWZnWyZ2qS%2FXgZHoPPOY8pB%2FVTnb648nQSed2zohsqCKcdKvFYcxC%2B4lbSLxXZwtstuuOPttuBLTb0iMMC%2FsS7EzENV301utDpDnOnQcnTsTWx%2Bv8%2BzUU%2FNXDpas2VBmDMcgTyEeigJndbhMk9CCzm17yJ5IcKK2eR%2B4jplIATwcKxtZfJCy20MgOHszpri1bapEekw5Z20gRrHZZ3QLVIPIjXxxtEaFY1oSoKgH%2FyckiLjzW6KXFzk%2F9cojBQWMXyVXnOuzQP%2BHCBW0cdfeeSMxnK9mTgDanI92GC5Vkh6YzulX%2Bs0rIl2XPdYKRfkAmY4DquREep60qfwEw4EjSXvdqXoORFzLmWwkofj572FQrhYRIDhEb92eiucKuU%2FLpDfKDoCeYvr1MDVRfQxzC0exlWygue1cUn8X%2BRrmNu9D4vtAUxaSsVCcmbyG7mYUZZSAOCAHp9hx2q6QvkrxwXp88Mxm51BFFT7%2Ba5F%2FBbUUjZdTkO%2B2O40QIs4NmLkPAAPvnFNiTX5zUZqpX0UQDlZpd9izqopElWAH1mEw%2FejbuAY6sgHhktfON2PiNNkEE%2BZZSHevbKcRTJAJw1%2BiOQOZYXCXv5YfqOHM9Pr28IJEKdtuqTX89eYKoaIDq8uBsjL%2BrYxDYZixpfmLN7dASdCBq%2Bxu9gnDSxiK%2BnvyQbwmjV53%2FlsE2SOQxHdgjtow%2BYxPQQvwHdUZmiwO4MIord8KmTZRfpi3VMxnHSkCTq2XIFBXpIDqX4I4c7BjAA%2FTboMenQ5SYwq7102N3zid2qgmdRT%2FGdwp&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241022T013552Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5MLTXFYQ%2F20241022%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed35461bd74cba021d74984e717570cef3b67f2fc5e74bc4f9c807b406284b1f&hash=fc22e6eae452b8a1a454a03aaa2384d30e228637a644bae8238ce4ee8c9870fc&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S030645732100296X&tid=spdf-dd2590e4-a94c-45a0-86e1-f06761f6e404&sid=b2d4d69e9844e24f654862089da7743e7e42gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=05075b04515700520000&rr=8d65c0cf7cd4b45d&cc=ca,Assessing the effectiveness of a three-way decision-making framework with multiple features in simulating human judgement of opinion classification
https://www.nature.com/articles/s41598-023-49086-1,Three-way group decisions using evidence theory under hesitant fuzzy linguistic environment | Scientific Reports
https://link.springer.com/article/10.1007/s10462-022-10311-4,A three-way decision method with tolerance dominance relations in decision information systems | Artificial Intelligence Review
https://link.springer.com/article/10.1007/s10844-013-0254-7,Cost-sensitive three-way email spam filtering | Journal of Intelligent Information Systems
https://www.integrify.com/decision-table-examples/,3 Decision Table Examples and Use Cases
https://pmc.ncbi.nlm.nih.gov/articles/PMC7338178/,Three-Way Decision for Handling Uncertainty in Machine Learning: A Narrative Review - PMC
https://www2.cs.uregina.ca/~yyao/PAPERS/RS_3WD.pdf,RS_3WD.pdf
https://link.springer.com/article/10.1007/s12559-022-10028-0,Granular Computing and Three-way Decisions for Cognitive Analytics | Cognitive Computation
https://hbr.org/1964/07/decision-trees-for-decision-making,Decision Trees for Decision-Making
https://www.sciencedirect.com/science/article/pii/S0020025518306698,A novel three-way decision model under multiple-criteria environment - ScienceDirect
https://www.tandfonline.com/doi/abs/10.1080/18756891.2011.9727759,"Risk Decision Making Based on Decision-theoretic Rough Set: A Three-way View Decision Model: International Journal of Computational Intelligence Systems: Vol 4, No 1"
https://www.sciencedirect.com/science/article/pii/S0950705115003007,A novel three-way decision model based on incomplete information system - ScienceDirect
https://link.springer.com/article/10.1007/s12559-016-9397-5,Three-Way Decisions and Cognitive Computing | Cognitive Computation
https://www.sciencedirect.com/science/article/pii/S0020025517306849,Three-way decision approaches to conflict analysis using decision-theoretic rough set theory - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0950705117301843,Three-way decision support for diagnosis on focal liver lesions - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0950705115003044,Sequential three-way decision and granulation for cost-sensitive face recognition - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0020025519308953,Interval-valued hesitant fuzzy multi-granularity three-way decisions in consensus processes with applications to multi-attribute group decision making - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0020025522012336,A three-way decision approach with prospect-regret theory via fuzzy set pair dominance degrees for incomplete information systems - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0888613X21001298,A novel multi-granularity three-way decision making approach in q-rung orthopair fuzzy information systems - ScienceDirect
https://link.springer.com/article/10.1007/s12559-022-10101-8,Hyperautomation for Air Quality Evaluations: A Perspective of Evidential Three-way Decision-making | Cognitive Computation
https://www.tandfonline.com/doi/abs/10.1080/02664769100000005,"A method of choosing multiway partitions for classification and decision trees: Journal of Applied Statistics: Vol 18, No 1"
https://www.sciencedirect.com/science/article/pii/S0377221702002734,A new method for group decision support based on ELECTRE III methodology - ScienceDirect
https://www.sciencedirect.com/science/article/pii/S0020025510005645,The superiority of three-way decisions in probabilistic rough set models - ScienceDirect
https://psycnet.apa.org/record/2011-03463-001,A three-phase model of retirement decision making.
https://www.researchgate.net/publication/383431623_Sequential_three-way_decision_with_automatic_threshold_learning_for_credit_risk_prediction?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Sequential three-way decision with automatic threshold learning for credit risk prediction
https://www.researchgate.net/publication/379882490_Three-way_decisions_with_Pythagorean_fuzzy_TOPSIS_for_Internet_of_Drones?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decisions with Pythagorean fuzzy TOPSIS for Internet of Drones
https://www.researchgate.net/publication/383170021_Fused_Decision_Rules_of_Multi-Intuitionistic_Fuzzy_Information_Systems_Based_on_the_D-S_Evidence_Theory_and_Three-Way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Fused Decision Rules of Multi-Intuitionistic Fuzzy Information Systems Based on the D-S Evidence Theory and Three-Way Decisions
https://www.researchgate.net/publication/379607928_Three-way_decisions_based_multi-attribute_decision-making_with_utility_and_loss_functions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decisions based multi-attribute decision-making with utility and loss functions
https://www.researchgate.net/publication/384273953_Intuitionistic_Fuzzy_Sequential_Three-Way_Decision_Model_in_Incomplete_Information_Systems?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Intuitionistic Fuzzy Sequential Three-Way Decision Model in Incomplete Information Systems
https://www.researchgate.net/publication/383587402_Target_Threat_Level_Classification_Based_on_Improved_Three-way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Target Threat Level Classification Based on Improved Three-way Decisions
https://www.researchgate.net/publication/373668614_GIFTWD_A_prospect_theory-based_generalized_intuitionistic_fuzzy_three-way_decision_model?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,GIFTWD: A Prospect Theory-Based Generalized Intuitionistic Fuzzy Three-Way Decision Model
https://www.researchgate.net/publication/376999840_Hexagons_of_Opposition_in_Linguistic_Three-Way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Hexagons of Opposition in Linguistic Three-Way Decisions
https://www.researchgate.net/publication/384035697_Fuzzy_implications-based_transformation_approaches_from_semi-three-way_decision_spaces_to_three-way_decision_spaces_and_their_applications?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Fuzzy implications-based transformation approaches from semi-three-way decision spaces to three-way decision spaces and their applications
https://www.researchgate.net/publication/372209709_Three-Way_Decisions_with_Evaluative_Linguistic_Expressions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-Way Decisions with Evaluative Linguistic Expressions
https://www.researchgate.net/publication/376538661_Three-Way_Decision-Making_Based_on_Incomplete_Information_System_and_Its_Application?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-Way Decision-Making Based on Incomplete Information System and Its Application
https://www.researchgate.net/publication/380564614_Fuzziness-based_three-way_decision_with_neighborhood_rough_sets_under_the_framework_of_shadowed_sets?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Fuzziness-Based Three-Way Decision With Neighborhood Rough Sets Under the Framework of Shadowed Sets
https://www.researchgate.net/publication/263092405_Three-way_decisions_space_and_three-way_decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decisions space and three-way decisions
https://www.researchgate.net/publication/383878848_A_three-way_decision_method_based_on_COPRAS_in_the_weak_probabilistic_linguistic_term_set_information_systems?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,A three-way decision method based on COPRAS in the weak probabilistic linguistic term set information systems
https://www.researchgate.net/publication/372161877_Two_new_kinds_of_protoconcepts_based_on_three-way_decisions_model?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Two new kinds of protoconcepts based on three-way decisions model
https://www.researchgate.net/publication/378066814_Two-stage_credit_risk_prediction_framework_based_on_three-way_decisions_with_automatic_threshold_learning?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Two‐stage credit risk prediction framework based on three‐way decisions with automatic threshold learning
https://www.researchgate.net/publication/384759276_Multi-Attribute_Three-Way_Decision_Approach_Based_on_Ideal_Solutions_under_Interval-Valued_Fuzzy_Soft_Environment?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Multi-Attribute Three-Way Decision Approach Based on Ideal Solutions under Interval-Valued Fuzzy Soft Environment
https://www.researchgate.net/publication/384281296_Three-way_decision-based_label_integration_for_crowdsourcing?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Three-way decision-based label integration for crowdsourcing
https://www.researchgate.net/publication/371978696_Multi-granularity_active_learning_based_on_the_three-way_decision?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Multi-granularity active learning based on the three-way decision
https://www.researchgate.net/publication/384826915_Adaptive_Sequential_Three-way_Decisions_for_Dynamic_Time_Warping?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Adaptive Sequential Three-way Decisions for Dynamic Time Warping
https://www.researchgate.net/publication/375887105_A_TOPSIS_method_based_on_sequential_three-way_decision?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,A TOPSIS method based on sequential three-way decision
https://www.researchgate.net/publication/382922024_A_Novel_Sequential_Three-Way_Decision_With_Rough_Fuzzy_Sets_Based_on_Optimal_Granularity_Selection?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,A Novel Sequential Three-Way Decision With Rough Fuzzy Sets Based on Optimal Granularity Selection
https://www.researchgate.net/publication/378170904_MTTEGDM_A_Moving_Target_Evolutionary_Game_Defense_Model_Based_on_Three-Way_Decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,MTTEGDM: A Moving Target Evolutionary Game Defense Model Based on Three-Way Decisions
https://www.researchgate.net/publication/377001557_Normal_Fuzzy_Three-Way_Decision_Based_on_Prospect_Theory?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Normal Fuzzy Three-Way Decision Based on Prospect Theory
https://www.researchgate.net/publication/384874275_A_Set_Pair_Analysis_and_Regret_Theory_Approach_for_Three-way_Decision?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,A Set Pair Analysis and Regret Theory Approach for Three-way Decision
https://www.researchgate.net/publication/362075592_Three-Way_Decision_Models_Based_on_Ideal_Relations_in_Multi-Attribute_Decision-Making,Three-Way Decision Models Based on Ideal Relations in Multi-Attribute Decision-Making
https://www.researchgate.net/publication/366936389_Decision-making_method_based_on_set_pair_analysis_and_VIKOR_under_heterogeneous_information_environment_and_application_to_typhoon_disaster_assessment,Decision-making method based on set pair analysis and VIKOR under heterogeneous information environment and application to typhoon disaster assessment
https://www.researchgate.net/publication/370710195_Grey_three-way_decisions_approach_with_the_changing_of_the_decision_objects?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Grey three-way decisions approach with the changing of the decision objects
https://www.researchgate.net/publication/383123627_A_novel_q-rung_orthopair_fuzzy_MAGDM_method_for_healthcare_waste_treatment_based_on_three-way_decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,A novel q-rung orthopair fuzzy MAGDM method for healthcare waste treatment based on three-way decisions
https://www.researchgate.net/publication/315112260_Generalized_three-way_decisions_and_special_three-way_decisions?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,Generalized three-way decisions and special three-way decisions
https://www.researchgate.net/publication/382545199_The_Visual_Analysis_of_Three-Way_Decision_Based_on_Decision-Theoretic_Rough_Set_A_Perspective_of_Fusing_Two-Way_Decision_Pair?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,The Visual Analysis of Three-Way Decision Based on Decision-Theoretic Rough Set: A Perspective of Fusing Two-Way Decision Pair
